status,path,folder,description
ADDED,reports/evidence/golden-money-path-proof.json,reports/evidence,Machine-readable reference-proof results and scenario assertions.
ADDED,reports/evidence/production-readiness-matrix.json,reports/evidence,Machine-readable capability readiness evidence and explicit limitations.
ADDED,reports/release-readiness.json,reports/release-readiness.json,Latest audit-mode release readiness result; strict mode remains blocked by repository-wide missing imports.
ADDED,reports/runtime-import-audit.json,reports/runtime-import-audit.json,Latest runtime import scan with canonical financial surface clean and repository-wide debt visible.
ADDED,scripts/architecture-debt-audit.mjs,scripts,"Non-destructive audit of zero-byte source files, CommonJS candidates and runtime-import debt with critical financial-surface classification."
ADDED,scripts/clean.mjs,scripts,Safe repository cleanup script used by the root quality workflow.
ADDED,scripts/enterprise-product-gate.mjs,scripts,Dependency-light enterprise static product gate for architecture/runtime security invariants.
ADDED,scripts/golden-money-path-proof.mjs,scripts,CI/evidence entrypoint for the deterministic Golden Money Path reference harness.
MODIFIED,scripts/release-readiness-gate.mjs,scripts,Release gate now consumes architecture-debt and Golden Money Path evidence and exposes strict blockers.
GENERATED-META,docs/production-readiness/CHANGE_MANIFEST_2026-09-23.csv,docs/production-readiness,Generated manifest/guide artifact; excluded from hash comparison.
GENERATED-META,docs/production-readiness/CHANGE_MANIFEST_2026-09-23.md,docs/production-readiness,Generated manifest/guide artifact; excluded from hash comparison.
GENERATED-META,docs/production-readiness/THIS_PASS_FILE_CHANGE_GUIDE_2026-09-23.md,docs/production-readiness,Generated manifest/guide artifact; excluded from hash comparison.
