step,file,category,change,why_it_was_changed
14,backend/middleware/resilience/gracefulDegradation.js,Duplicate preliminaries cleanup,Remove unreferenced preliminary symbols/helpers and duplicate health status while retaining the later canonical namespaced runtime infrastructure.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
15,backend/middleware/Performance/compression.js,Duplicate preliminaries cleanup,Remove redundant preliminary component metadata/compression constants/defaults/diagnostics and retain the later canonical middleware implementation.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
16,backend/controllers/complianceController.js,Runtime/test boundary cleanup,Remove embedded Jest mocks/self-require; make runtime module ESM and bridge legacy compliance/audit/metrics services through createRequire.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
17,backend/scripts/listIndexes.js,Script cleanup,Remove duplicated second script copy and make the standalone script ESM-safe with createRequire for mongoose.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
18,backend/config/mail.js,Syntax/precedence fix,Parenthesize ?? and || in SMTP password resolution.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
19,backend/config/storage.js,Duplicate declaration cleanup,Remove only the later duplicate defaultConfig singleton.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
20,backend/modules/transactions/repositories/DistributedTransactionRepository.js,Duplicate local cleanup,Use normalizedHistory for the second snapshot-history calculation instead of redeclaring history.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
21,backend/controllers/TransactionController.js,Runtime module boundary,Bridge the legacy CommonJS ledger service through createRequire without changing controller API functions.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
22,backend/controllers/dashboardController.js,Runtime module boundary,Bridge legacy CommonJS asyncHandler through createRequire; retain DashboardService and logger imports.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
23,backend/controllers/emailController.js,Runtime module boundary,"Bridge legacy CommonJS asyncHandler, RefreshToken, password-reset service, email service, and rate limiters while keeping ESM services/models unchanged.",Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
24,backend/models/account.model.js,Runtime module boundary,Bridge legacy CommonJS tenant constants with createRequire; preserve existing tenantConstantsModule handling.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
25,backend/utils/response.js,Runtime module boundary,Bridge legacy CommonJS errorCodes with createRequire while retaining ESM response exports.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
26,backend/workers/fraudWorker.js,Runtime module boundary,Bridge legacy CommonJS fraudEngine into the ESM BullMQ worker.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
27,backend/workers/transactionWorker.js,Runtime module boundary,Bridge legacy CommonJS ledgerService into the ESM BullMQ worker.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
